Name,Quantity,Description,BuyLink,Price
ESP32-C5-DevKitC-1,1,ESP32-C5 WiFi 6/6E Mini Module (2.4GHz + 5GHz),https://robu.in/product/waveshare-esp32-c5-dual-band-wi-fi-6-development-board/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWcAhKjpKS-s-T5ga_nYdL_oZ&gclid=Cj0KCQjwzY7VBhDwARIsAFtPvBSCJiLuT1NXrFAtEAiCTnIfyfwz10suMZHzm03uu-T937S01YcnfV4aAvBoEALw_wcB,1339rs
NRF24L01_Breakout,1,nRF24L01+ 2.4GHz RF Transceiver Module,https://quartzcomponents.com/collections/all/products/rf-module-2-4ghz-nrf24l01-smd,113rs
CC1101-868MHz-Module,1,CC1101 868/915 MHz Sub-GHz RF Module,https://www.digirf.com/ahttps://quartzcomponents.com/products/cc1101-868mhz-wireless-transceiver-module,247rs
TFT_320x240,1,"2.4"" TFT LCD Display 320x240 Touch Screen",https://robu.in/product/2-8-inch-spi-touch-screen-module-tft-interface-240320/,959rs
TP4056,1,TP4056 Lithium Battery Charging Module,https://robocraze.com/products/tp4056-battery-charger-c-type-module-with-protection-1?variant=46170796261600&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=googleads&utm_medium=ppc&utm_campaign=24209724403&utm_content=_&utm_term=&campaignid=24209724403&adgroupid=&campaign=24209724403&gad_source=1&gad_campaignid=24204602840&gbraid=0AAAAADgHQvbPMGuDf6IKSNYK3mAYs7GPq&gclid=Cj0KCQjwzY7VBhDwARIsAFtPvBRJs9qowygo7dqe7Be8JHWSHUW2bmEze1dkwCvkXE_-SpmCKjvBSHMaAmgSEALw_wcB,16rs
battery,4,18650 Li-Ion Battery (3.7V),https://quartzcomponents.com/collections/all/products/3-7v-500mah-li-po-rechargeable-battery-for-boat-wireless-bluetooth,122x4 rs
uart Connector,1,JST EH Series 4-Pin Connector (Expansion Port),https://quartzcomponents.com/collections/all/products/4-pin-jst-xh-male-connector-5-24mm-pitch,2rs
zero pcb,5,"making the fist pcb ",https://quartzcomponents.com/products/perf-board-dotted-board-general-purpose-pcb-15x10cm,29x5 rs
soldering kit,1,making my pcb,https://www.amazon.in/Soldering-180-500%C2%B0C-Adjustable-Desoldering-Tweezers/dp/B0H2DF7V5R/ref=asc_df_B0H2DF7V5R?mcid=fac06c466bea383c9f9de4df1ada2f3f&tag=googleshopdes-21&linkCode=df0&hvadid=709963085987&hvpos=&hvnetw=g&hvrand=6880740136568805454&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9061709&hvtargid=pla-2495571989661&hvocijid=6880740136568805454-B0H2DF7V5R-&hvexpln=0&gad_source=1&th=1,1399rs
jumper cables,2,for wiring,https://quartzcomponents.com/products/jumper-wires-combo-pack-male-to-male-male-to-female-female-to-female-set-of-120?variant=45062852903146&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gbraid=0AAAAACPPFdMKBcfSVEY-nUhuyXm1wlDV4&gclid=Cj0KCQjwzY7VBhDwARIsAFtPvBRewQFkgKB1JRPOWMbdnzZBRzA7U79xPLyqfY1VizUegldmECB1gqUaApjVEALw_wcB,159x2 rs
soldering stand,1,for soldering,https://www.amazon.in/Catchex-Helping-Magnifier-Soldering-Dual-Mode/dp/B08MQX9L5N/ref=sr_1_1_sspa?crid=FTJHBQBUO2E5&dib=eyJ2IjoiMSJ9.6Q6KR2TueLLx1nzUo3dqAELZ5I-7egw83BdRRN6E2k6ea4hZ5IwFMWd1g0OCS7VsGGuxCJCDWpumhTcyq25LeKnd1ZiEPj0lzBRxpvn8j20aaU3k03o5N9xNIDq8-QH1gSEHMHa6HtuQ0R37wDeOta6G9H9JhxqAu-_MsIZFblusvtexT-ihc6ErvKeiv5GuokvnRaY_FccYQocbr5Y_Y1VWhGller9pPpP1UF92dlwKQX9JAjZHSJPEeUVAKig6AdTo_Vvtc4djI_zFSKch3pATpFlGXqsCq7bKzEVqsQs.sNLhgmx-CbrkAQKMNDARRboaHru4lVpfFbm_IsWxRTo&dib_tag=se&keywords=soldering+stand&qid=1789157310&sprefix=soldering+sta%2Caps%2C302&sr=8-1-spons&aref=D5Ohwj5oxm&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,694 rs
soldering wick,2,for soldering,https://quartzcomponents.com/products/desoldering-braid-solder-remover-wick?variant=31898067140743&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gbraid=0AAAAACPPFdMKBcfSVEY-nUhuyXm1wlDV4&gclid=Cj0KCQjwzY7VBhDwARIsAFtPvBQLumONmwllpPppLpWS5YPv0rClvczN1H7C6DntKvXrPcqMlQ9EcLoaAnmcEALw_wcB,18x2 rs
jst female,2,needed,https://quartzcomponents.com/collections/all/products/4-pin-jst-sm-connector-with-wire-5-24mm-pitch,13x2 rs
,,,,total = 5782 rs
,,,,total = $60.27
,,,,
,,,,
